image_uid,image_path,style,style_abbrev,metric,dc,dw
data/compromise_building/apartment/town/1003|1003,data/compromise_building/apartment/town/1003.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.9599958437240232,0.0532003325020781
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.5715918536990856,0.8193059019118869
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.7060473815461347,0.3247090606816292
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.0907107231920199,0.6865128844555278
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.0501870324189526,0.9498129675810474
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.1218827930174564,0.8623233582709892
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7297381546134664,0.8299044056525353
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.3984829592684954,0.6015170407315046
data/compromise_building/apartment/town/1004|1004,data/compromise_building/apartment/town/1004.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.3867414796342477,0.6174147963424771
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.712281795511222,0.654093931837074
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.8178512053200333,0.7270365752285952
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.4506442227763924,0.3907938487115544
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.1526392352452203,0.8473607647547797
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.2199709060681629,0.6850581878636741
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.691708229426434,0.8683499584372403
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.0884247714048212,0.9115752285951788
data/compromise_building/apartment/town/1005|1005,data/compromise_building/apartment/town/1005.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.5652535328345802,0.5652535328345802
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.2428304239401496,0.4379675810473815
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.5983998337489609,0.5672277639235245
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.326995012468828,0.1114921030756442
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.1979426433915212,0.8020573566084788
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.4146924355777223,0.0281587697423108
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7501039068994181,0.8837281795511222
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.3130714879467997,0.6869285120532004
data/compromise_building/apartment/town/1006|1006,data/compromise_building/apartment/town/1006.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.7974854530340815,0.2968620116375728
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.4327722360764755,0.7931213632585203
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.8677265170407316,0.2070864505403159
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.2640274314214464,0.7334788029925187
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.095906068162926,0.904093931837074
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.3174355777223608,0.1019326683291771
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.419472152950956,0.6725893599334996
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.8105777223607648,0.1894222776392352
data/compromise_building/apartment/town/1007|1007,data/compromise_building/apartment/town/1007.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.7027223607647548,0.434019118869493
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.3735453034081463,0.7286990856192851
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.9749584372402328,0.8188902743142145
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.2257896924355777,0.7779509559434746
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.0663965087281795,0.9336034912718204
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.1923316708229426,0.1202202826267664
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.375,0.602763923524522
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.4423316708229427,0.5576683291770573
data/compromise_building/apartment/town/1008|1008,data/compromise_building/apartment/town/1008.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.5120532003325021,0.2317123857024107
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.1792394014962594,0.3511014131338321
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.5123649210307565,0.0936201163757273
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.0624480465502909,0.4113674147963425
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.059123025768911,0.940876974231089
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.5917497921862012,0.566812136325852
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.5620324189526185,0.7920822942643392
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.5183915211970075,0.4816084788029925
data/compromise_building/apartment/town/1009|1009,data/compromise_building/apartment/town/1009.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.7218412302576891,0.3280340814630092
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.5780340814630092,0.6229218620116376
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.7201787198669992,0.3602452202826268
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.4878428927680798,0.4795303408146301
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.1482751454696592,0.8517248545303409
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.1798628428927681,0.3708437240232751
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.5738778054862843,0.7804447215295096
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.0992310889443059,0.900768911055694
data/compromise_building/apartment/town/101|101,data/compromise_building/apartment/town/101.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.3599334995843724,0.6778886118038238
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.110453034081463,0.6788237738985868
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.712281795511222,0.5227556109725686
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.1688487115544472,0.4417082294264339
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.4209268495428096,0.5790731504571903
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.6610556940980881,0.1620947630922693
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7133208645054031,0.8959891936824605
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.4446176226101413,0.5553823773898587
data/compromise_building/apartment/town/1010|1010,data/compromise_building/apartment/town/1010.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.7426226101413134,0.1646924355777224
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.5503948462177889,0.6597049044056525
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.8511014131338321,0.6146093100581879
