image_uid,image_path,style,style_abbrev,metric,dc,dw
demo/Eva_Set/CH-BAR/DSC_2507.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2507.jpg,Chinese_Baroque,Ch-BAR,Col_HSV-B_demo,0.9173804847135505,
demo/Eva_Set/CH-BAR/DSC_2507.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2507.jpg,Chinese_Baroque,Ch-BAR,Str_SSIM-D_demo,1.0886607666403996,
demo/Eva_Set/CH-BAR/DSC_2604.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2604.jpg,Chinese_Baroque,Ch-BAR,Col_HSV-B_demo,0.8024685939906075,
demo/Eva_Set/CH-BAR/DSC_2604.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2604.jpg,Chinese_Baroque,Ch-BAR,Str_SSIM-D_demo,1.035686254239661,
demo/Eva_Set/CH-BAR/DSC_2607.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2607.jpg,Chinese_Baroque,Ch-BAR,Col_HSV-B_demo,0.6791685249758727,
demo/Eva_Set/CH-BAR/DSC_2607.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2607.jpg,Chinese_Baroque,Ch-BAR,Str_SSIM-D_demo,1.024522817061173,
demo/Eva_Set/CH-BAR/DSC_2625.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2625.jpg,Chinese_Baroque,Ch-BAR,Col_HSV-B_demo,0.773464934161818,
demo/Eva_Set/CH-BAR/DSC_2625.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2625.jpg,Chinese_Baroque,Ch-BAR,Str_SSIM-D_demo,1.0641689117223243,
demo/Eva_Set/CH-BAR/DSC_2639.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2639.jpg,Chinese_Baroque,Ch-BAR,Col_HSV-B_demo,0.8507946558057227,
demo/Eva_Set/CH-BAR/DSC_2639.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BAR/DSC_2639.jpg,Chinese_Baroque,Ch-BAR,Str_SSIM-D_demo,0.8071884228188878,
